"Data","Totale","Uomini","Donne","Minori"
"2022-04-14",92716,10566,47927,34223
"2022-04-13",91846,10368,47499,33979
"2022-04-12",91137,10229,47112,33796
"2022-04-11",89920,9984,46491,33445
"2022-04-09",88593,9700,45816,33077
"2022-04-08",87225,9412,45069,32744
"2022-04-07",86066,9173,44422,32471
"2022-04-06",85057,8949,43888,32220
"2022-04-05",84178,8761,43434,31983
"2022-04-04",83100,8551,42879,31670
"2022-04-03",81739,8285,42181,31273
"2022-04-02",80622,8111,41614,30897
"2022-04-01",79047,7800,40780,30467
"2022-03-31",78021,7659,40204,30158
"2022-03-30",76847,7435,39617,29795
"2022-03-29",75115,7158,38735,29222
"2022-03-28",73898,6959,38068,28871
"2022-03-27",71940,6661,37082,28197
"2022-03-26",70784,6479,36428,27877
"2022-03-25",69154,6266,35577,27311
"2022-03-23",65350,5592,32361,25151
"2022-03-22",61493,5400,31502,24591
"2022-03-21",59589,5213,30499,23877
"2022-03-19",55711,4776,28537,22398
"2022-03-18",53669,4582,27429,21658
"2022-03-17",50649,4325,25846,20478
"2022-03-16",47153,4052,24032,19069
"2022-03-15",44008,3819,22331,17858
"2022-03-14",38539,3373,19566,15600
"2022-03-13",37447,3298,19002,15147
"2022-03-12",34851,3040,17685,14126
"2022-03-11",31287,2781,15830,12676
"2022-03-10",26738,2425,13419,10894
"2022-03-09",23872,2200,11955,9717
"2022-03-08",21095,1989,10553,8553
"2022-03-07",17286,1682,8608,6996
"2022-03-06",14237,1459,7052,5726
"2022-03-05",11323,1198,5620,4505
"2022-03-04",9058,1041,4484,3533
"2022-03-03",6608,804,3286,2518
"2022-03-02",3840,570,1890,1380
